model,train_metrics,val_metrics,test_metrics
GCN,"{'pearson_r': -7.941179921052329e-07, 'mae': 6.600059535768297, 'mse': 48.06970236036513, 'rmse': 6.9265088770124645}","{'pearson_r': nan, 'mae': 5.515852292378743, 'mse': 32.62260373433431, 'rmse': 5.708340644836426}","{'pearson_r': nan, 'mae': 5.754845301310222, 'mse': 38.40296936035156, 'rmse': 6.189760684967041}"
GAT,"{'pearson_r': nan, 'mae': 6.601452615525988, 'mse': 48.05230712890625, 'rmse': 6.9305162694719105}","{'pearson_r': nan, 'mae': 5.515852292378743, 'mse': 32.62260373433431, 'rmse': 5.708340644836426}","{'pearson_r': nan, 'mae': 5.754845301310222, 'mse': 38.40296936035156, 'rmse': 6.189760684967041}"
